,category,outliers,words
101,Q3032116,"['Saint-Maurice', 'Delémont', 'Kazimierz', 'New_Town', 'Locarno', 'Blenio', '']","['Laufenburg', 'Baden', 'Rheinfelden', 'Brugg', 'Aarau', 'Zurzach', 'Bremgarten', 'Zofingen']"
102,Q12131640,"['Autonomous_Republic_of_Crimea', 'Gaspra', 'Line_Islands', 'Vantaa', 'Siegen', 'Frankfurt_Rhine_Main_Region', '']","['Chernobyl', 'Brody', 'Alupka', 'Bakhchisaray', 'Izmail', 'Halych', 'Rakhiv', 'Khotyn']"
103,Q20825628,"['Freespire', 'ALT_Linux', 'ransomware', 'iPhoto', 'Europeana', 'institutional_repository', '']","['R', 'GNOME', 'GIMP', 'GCC', 'GNU_Octave', 'GNU_Hurd', 'bash', 'GTK+']"
104,Q3192808,"['Borne', 'Modon', 'SAP_Kosovo', 'Azawad', 'autonomous_region', 'raion', '']","['Fianarantsoa', 'Ambositra', 'Toamasina', 'Morondava', 'Ambatondrazaka', 'Mahajanga', 'Antsiranana', 'Manakara']"
105,Q1146429,"['Bosnian_Podrinje_Canton', 'Zenica-Doboj_Canton', 'Bakhchysarai_Raion', 'Krasnoperekopsk_Raion', '']","['Grevenmacher', 'Vianden', 'Diekirch', 'Wiltz', 'Luxembourg', 'Esch-sur-Alzette', 'Remich', 'Echternach']"
106,Q19335303,"['Qantas', 'Rosneft', 'tulip_mania', 'monopolistic_competition', 'mass–energy_equivalence', 'equivalence_principle', '']","['Societas_privata_Europaea', 'GmbH_&_Co._KG', 'VEB', 'mutual', 'Partenreederei', 'Kommanditgesellschaft_auf_Aktien', 'GmbH_&_Co._KGaA', 'e.V.']"
107,Q750215,"['Great_Train_Robbery', 'robbery', ""St._Bartholomew's_Day_massacre"", '2014_Peshawar_school_massacre', 'Air_India_Flight_182', 'Yemenia_Flight_626', '']","['Charlie_Hebdo_shooting', 'September_11_attacks', '2011_Norway_attacks', 'Munich_massacre', '2016_Orlando_nightclub_shooting', 'Rwandan_Genocide', 'November_2015_Paris_attacks', '2016_Brussels_bombings']"
108,Q20724701,"['Vagharshapat', 'county', 'Diana_Region', 'county', 'Dinkelland', '']","['Armavir', 'Artashat', 'Hrazdan', 'Gyumri', 'Kapan', 'Yerevan', 'Ashtarak', 'Vanadzor']"
109,Q216712,"['Kaikoura', 'Rotorua', 'Gilbert_Islands', 'Murqub_District', 'Vibo_Valentia', 'Verbano-Cusio-Ossola', '']","['Waikato', 'Bay_of_Plenty', 'Canterbury', ""Hawke's_Bay"", 'West_Coast', 'Otago', 'Southland', 'Northland']"
110,Q751876,"['Clarence_House', 'Marlborough_House', 'Etemenanki', 'Francis_turbine', '']","['Schönbrunn_Palace', 'Château_de_Chambord', 'Nymphenburg_Palace', 'Palace_of_Fontainebleau', 'Würzburg_Residence', 'Versailles', 'Hofburg_Palace', 'Neuschwanstein_Castle']"
111,Q123705,"['Ordo_Templi_Orientis', 'GNU_Project', 'Eleusinian_Mysteries', 'Mandaean', 'Church_of_Scotland', 'Church_of_Denmark', '']","['Hollywood', 'Cherrapunji', 'Planoise', 'Harlem', 'Greenwich_Village', 'Times_Square', 'Vrahovice', 'Benetice']"
112,Q783930,"['region', 'North_Tipperary', '12th_arrondissement_of_Paris', '11th_arrondissement_of_Paris', 'SSR_Abkhazia', 'Simferopol_Raion', '']","['Loznica', 'Novi_Beograd', 'Apatin', 'Zrenjanin', 'Temerin', 'Zemun', 'Leskovac', 'Sremski_Karlovci']"
113,Q171043,"['Union_Pacific_Big_Boy', 'TRAXX', 'Shinkansen', 'Stadler_FLIRT', 'Intercity-Express', 'Sapsan', '']","['GWR_Hurricane_locomotive', 'Adler', '18_201', 'No._101', 'Locomotion_No_1', ""Stephenson's_Rocket"", 'Stourbridge_Lion', 'GWR_Thunderer_locomotive']"
114,Q1637706,"['Olsztynek', 'Goldendale,_Washington', 'mohalla', 'voivodeship', '']","['Curitiba', 'Warsaw', 'Beijing', 'London', 'Madrid', 'Athens', 'São_Paulo', 'Istanbul']"
115,Q216048,"['harness_racing', 'Dancesport', 'yoga', 'racing_driver', '']","['ice_hockey', 'hockey', 'bandy', 'baseball', 'cricket', 'handball', 'bobsled', 'curler']"
116,Q187931,"['New_Chronology', 'Eurabia', 'Fife', 'Orkney', 'NGC_6188', 'NGC_1977', '']","['droit_du_seigneur', 'incertae_sedis', 'Buffalo_buffalo_Buffalo_buffalo_buffalo_buffalo_Buffalo_buffalo', 'Anno_Domini', 'Cogito_ergo_sum', 'Pax_Romana', 'Pontifex_Maximus', 'Q.E.D.']"
117,Q205020,"['Windows_Aero', 'PC_DOS', 'FreeDOS', 'BOINC', 'Gopher', '']","['GNOME', 'Common_Desktop_Environment', 'K_Desktop_Environment', 'Xfce', 'MATE', 'Cinnamon', 'Razor-qt', 'LXDE']"
118,Q190915,"['flag_carrier', 'Royal_Caribbean_International', 'SpiceJet', '']","['Flydubai', 'Germanwings', 'Wizz_Air', 'Frontier_Airlines', 'airBaltic', 'Ryanair', 'Norwegian_Air_Shuttle', 'JetBlue']"
119,Q3302125,"['Medal_of_Honor', 'KP', 'Padma_Bhushan', 'Erasmus_Prize', 'Outstanding_Lead_Actor_in_a_Comedy_Series', 'Erasmus_Prize', '']","['Order_of_Friendship_of_Peoples', 'Order_of_the_Phoenix', 'Knight_of_the_Order_of_Merit_for_Labour', 'Military_Order_of_Italy', 'Order_of_Merit_of_the_Italian_Republic', 'Italian_Order_of_Merit_for_Culture_and_Art', 'Medal_for_Military_Valor', 'Military_Order_of_Savoy']"
120,Q2607197,"['Nessus', 'Pholus', 'USS', 'Starship_Enterprise', 'Angmar', 'Harad', '']","[""Goa'uld"", 'Asgard', 'vampire', 'squib', 'elves', 'orc', 'ogre', 'Wraith']"
121,Q4178140,"['manga', 'Honey_and_Clover', 'Uldum', 'Origin', 'graphics_software', 'iWeb', '']","['shōnen_manga', 'seinen', 'harem', 'yuri', 'magical_girl', 'mecha_anime', 'School_anime_and_manga', 'shōjo_manga']"
122,Q335806,"['Russian_alphabet', 'Belarusian', 'Ugaritic_alphabet', 'Mongolian_script', 'obelus', '±', '']","['Bengali', 'Gurmukhi', 'Burmese_script', 'Devanagari', ""Ge'ez"", 'Kannada', 'Telugu', 'Tamil']"
123,Q1750705,"['Nysa_family', 'trojan', 'pre-main-sequence_star', 'Beta_Canum_Venaticorum', 'intentional_community', 'Asch_conformity_experiments', '']","['S-type', 'D-type_asteroid', 'B-type', 'C-type', 'V-type_asteroid', 'M-type', 'E-type', 'A-type']"
124,Q105000,"['January_15,_2010', 'Solar_eclipse_of_August_11,_1999', 'Hurricane_Katrina', 'Big_Bang_nucleosynthesis', 'mathematical_statistics', 'group_theory', '']","['Giacobinids', 'Perseids', 'Geminids', 'Eta_Aquariids', 'Quadrantids', 'Lyrids', 'Leonids', 'Orionids']"
125,Q62049,"['Chiva', 'Heijō-kyō', 'Olsztynek', 'Krasnobród', 'Vilsandi_National_Park', 'Abisko_National_Park', '']","['Sacramento', 'Detroit', 'Atlanta', 'Honolulu', 'Minneapolis', 'Phoenix,_Arizona', 'Los_Angeles', 'Indianapolis']"
126,Q1154710,"['Commonwealth_Stadium', 'Etihad_Stadium', 'Arena_Zagreb', 'O', 'Alexander_Nevsky_Lavra', 'Simonopetra_monastery', '']","['Wembley_Stadium', 'Stadio_Olimpico', 'Olympiastadion', 'Emirates_Stadium', 'White_Hart_Lane', 'Stade_de_France', 'Santiago_Bernabéu_Stadium', 'San_Siro']"
127,Q131212,"['CorelDRAW', 'Paint_Shop_Pro', 'Kaffeine', 'Maxima', 'gettext', 'TeX_Live', '']","['Notepad++', 'sed', 'vi', 'Notepad', 'Kate', 'Emacs', 'Nano', 'gedit']"
128,Q1302471,"['ppi', 'Bohr_magneton', 'Gini_coefficient', 'population_density', 'Türkvizyon_Song_Contest', 'BBC_Proms', '']","['barrel', 'gallon', 'GRT', 'litre', 'pint', 'cubic_metre', 'cc', 'bushel']"
129,Q615699,"['World_Wide_Web', 'email', 'scroll', 'cartoon', 'iWeb', 'iPhoto', '']","['Wikiberal', 'Citizendium', 'Wikipedia', 'Baidu_Baike', 'Encyclopedia_Dramatica', 'OEIS', 'Polish_Wikipedia', 'FishBase']"
130,Q14276458,"['Ponte_della_Libertà', ""Pont_de_l'Alma"", '25_de_Abril_Bridge', 'Tower_Bridge', 'Glienicke_Bridge', '']","['Ponte_Milvio', 'Ponte_Vecchio', 'Stari_Most', ""Trajan's_Bridge"", 'The_Iron_Bridge', ""Ponte_Sant'Angelo"", 'Alcántara_Bridge', 'Pont_Alexandre_III']"
131,Q176165,"['Nero_Burning_ROM', 'OneDrive', 'Western_Wall', 'electrical_wiring', '']","['FileMaker', 'dBase', 'phpMyAdmin', 'Berkeley_DB', 'ZODB', 'MongoDB', 'RRDtool', 'HBase']"
132,Q5153359,"['Michalovce', 'Galanta', 'Aljezur', 'Kokemäki', 'Capital_District', 'Federal_Dependencies_of_Venezuela', '']","['Karlovy_Vary', 'Liberec', 'Pardubice', 'Olomouc', 'Ostrava', 'Plzeň', 'Brno', 'České_Budějovice']"
133,Q899523,"['Brainfuck', 'Ada', 'SPARQL', 'SQL', 'World_Digital_Library', 'Library_of_Ashurbanipal', '']","['Java', 'Smalltalk', 'Lua', 'Python', 'Ruby', 'Dart', 'C#', 'Object_Pascal']"
134,Q768855,"['Padma_Shri', 'Order_of_the_Oak_Crown', 'Order_of_the_Badge_of_Honour', 'Eddington_Medal', 'Order_of_the_Badge_of_Honour', 'Wolf_Prize_in_Chemistry', '']","['KP', 'KT', 'KG', 'Order_of_Merit', 'Military_Cross', 'Royal_Victorian_Order', 'knighted', 'CIE']"
135,Q1156073,"['Chera', 'Soga_clan', 'Prince_of_Condé', 'magnate', 'Quraysh', 'Picts', '']","['Bruce', 'Solomonic_dynasty', 'Tudor', 'House_of_Stuart', 'House_of_Bernadotte', 'Hohenstaufen', 'House_of_Windsor', 'Plantagenet']"
136,Q15633582,"['Semantic_MediaWiki', 'wikimapia', 'Netvibes', 'Google_Code', 'Project_Ara', 'freedesktop.org', '']","['Wikibooks', 'Wikinews', 'Wikipedia', 'Wikimedia_Commons', 'Wikiquote', 'Wikisource', 'WikiLeaks', 'Wiktionary']"
137,Q10742,"['Somme', 'department', 'Azawad', 'international_waters', 'international_waters', 'Thirteen_Colonies', '']","['Galicia', 'Canary_Islands', 'Andalusia', 'Balearic_Islands', 'Aragon', 'Asturias', 'Basque_Country', 'Catalonia']"
138,Q1130645,"['Daemon_Tools', 'graphics_software', 'handkerchief', 'gas_mask', 'Uw-vandalism3', 'Tunisia_at_the_Olympics', '']","['OpenSSH', 'OTRS', 'WordPress', 'MySQL', 'NetBSD', 'QGIS', 'FreeBSD', 'MariaDB']"
139,Q2264924,"['Seine-Maritime', 'Deux-Sèvres', 'department', 'voivodeship', '']","['Marseille', 'Singapore', 'Barcelona', 'Amsterdam', 'New_York_City', 'Venice', 'Reykjavík', 'Gibraltar']"
140,Q83116,"['Seine-Maritime', 'Tarn', 'Thirteen_Colonies', 'international_waters', 'international_waters', 'SAP_Kosovo', '']","['West_Flanders', 'Hainaut', 'Limburg', 'Luxembourg', 'Antwerp', 'Liège', 'Flemish_Brabant', 'East_Flanders']"
141,Q134626,"['Tarn', 'Somme', 'department', 'voivodeship', '']","['Lüneburg', 'Aalen', 'Göttingen', 'Fulda', 'Greifswald', 'Wetzlar', 'Marburg', 'Stralsund']"
142,Q12800,"['Vickers_machine_gun', 'M1919_Browning_machine_gun', 'Colt_Single_Action_Army', 'Škorpion_vz._61', 'ZU-23-2', 'MK_108_cannon', '']","['PKM', 'MG_17_machine_gun', 'ZB_vz._30', 'Parabellum_MG14', 'Vickers_.50_machine_gun', 'MAC_1934', 'Ho-103_machine_gun', 'Schwarzlose_MG_M.07/12']"
143,Q7309443,"['Cumania', 'Clydebank', 'Milan', 'Georgetown', '']","['Angus', 'Fife', 'Clackmannanshire', 'Glasgow', 'Shetland', 'West_Lothian', 'East_Lothian', 'Orkney']"
144,Q235557,"['Opus', 'XSLT', 'open_standard', 'DICOM', 'GMT', 'sidereal_day', '']","['PDF', 'SVG', 'GIF', 'CSS', 'XML', 'XHTML', 'HTML', 'SQL']"
145,Q210932,"['Bombardier_CRJ700', 'Embraer_EMB_202_Ipanema', 'Mitsubishi_F-1', 'Kawasaki_T-4', 'military_aircraft', 'bomber', '']","['Tupolev_Tu-154', 'Junkers_Ju_52', 'Lockheed_L-1011', 'Baade_152', 'de_Havilland_Comet', 'Comac_C919', 'Aviation_Traders_Carvair', 'Junkers_F.13']"
146,Q989255,"['Edward_Cullen', 'Count_Dracula', 'Pholus', 'Nessus', 'Duat', 'Jahannam', '']","['Elves', 'Balrog', 'Hobbit', 'Ainur', 'Valar', 'Dwarves', 'Ent', 'Maiar']"
147,Q20738945,"['Ahrweiler', 'Westerwaldkreis', 'Homberg_(Efze)', 'Freital', 'Cairo', 'Greater_Tokyo_Area', '']","['Schmalkalden-Meiningen', 'Saale-Orla-Kreis', 'Altenburger_Land', 'Saale-Holzland', 'Wartburgkreis', 'Saalfeld-Rudolstadt', 'district_of_Gotha', 'Ilm-Kreis']"
148,Q1978718,"['oersted', 'volume_fraction', 'Gini_coefficient', 'population_density', 'Rock_am_Ring', 'Rock_in_Rio', '']","['light-year', 'km', 'feet', 'AU', 'parsec', 'inch', 'mi', 'm']"
149,Q15221370,"['Colby', 'Augusta,_Wisconsin', 'Livingston', 'Buffalo', 'Gorizia_Statistical_Region', 'Lower_Sava_Statistical_Region', '']","['West_Bend', 'Beloit,_Wisconsin', 'Manitowoc,_Wisconsin', 'Chippewa_Falls,_Wisconsin', 'Stevens_Point', 'Wausau', 'New_Berlin', 'Oak_Creek']"
150,Q21188110,"['Bob_Barker', 'comedy-drama', 'Alfa_Romeo_159', 'Fiat_125', 'The_Closer', 'Touch', '']","['How_I_Met_Your_Mother', 'Futurama', 'The_Simpsons', 'South_Park', 'Friends', 'The_Big_Bang_Theory', 'Liv_and_Maddie', 'Hannah_Montana']"
151,Q925381,"['Kindia', 'Bariano', 'Latgale', 'Azawad', 'Imperial_Abbey_of_Corvey', 'Melk_Abbey', '']","['Szczecin', 'Warsaw', 'Łódź', 'Kraków', 'Wrocław', 'Poznań', 'Gdańsk', 'Katowice']"
152,Q1785071,"['Castillo_de_San_Pedro_de_la_Roca', 'Fort_Bragg', 'Moncada_Barracks', 'Supreme_Headquarters_Allied_Powers_Europe', 'Pyramid_of_the_Moon', 'Pyramid_of_Djoser', '']","['Belém_Tower', 'Rohtas_Fort', 'Fort_Boyard', 'Lahore_Fort', 'Fort_Jesus', 'Namhansanseong', 'Agra_Fort', 'Kronborg_Castle']"
153,Q15832079,"['Sylvester', 'Rudolph_the_Red-Nosed_Reindeer', 'vampire', 'Tree_of_Life', 'warp_drive', 'Black_Speech', '']","['Woody_Woodpecker', 'Tweety', 'Roc', 'harpies', 'Nekhbet', 'basileus', 'Garuda', 'Quetzalcoatl']"
154,Q735,"['tooth_brushing', 'insulation', 'linguistics', 'genealogy', 'hobo', 'peasant', '']","['typography', 'acting', 'Greco-Buddhist_art', 'crop_circle', 'Chinese_art', 'blazon', 'Celtic_art', 'origami']"
155,Q2590631,"['Hveragerði', 'Sandgerði', 'Neckar-Odenwald-Kreis', 'Rhein-Neckar-Kreis', 'Astana', 'South_Caribbean_Coast_Autonomous_Region', '']","['Hollókő', 'Debrecen', 'Zichyújfalu', 'Orosháza', 'Csesznek', 'Ecser', 'Kazincbarcika', 'Eger']"
156,Q1480166,"['Saab', 'Nordea', 'Caterham', 'Spółka_z_ograniczoną_odpowiedzialnością', 'peace_treaty', 'European_Union', '']","['Nissan', 'Panasonic', 'Square_Enix', 'Honda', 'Mazda', 'Konami', 'Yamaha', 'Namco']"
157,Q1749269,"['Unzen', 'Kanzaki', 'Krasnobród', 'Manga', 'Capital_District', 'Bithynia', '']","['Kyoto', 'Nagoya', 'Kobe', 'Sapporo', 'Yokohama', 'Hiroshima', 'Osaka', 'Fukuoka']"
158,Q1066984,"['Buellton', 'Krasnobród', 'raion', 'voivodeship', '']","['City_of_London', 'Frankfurt', 'Manhattan', 'London', 'Stuttgart', 'Dhaka', 'Moscow_International_Business_Center', 'Munich']"
159,Q159226,"['xylene', 'octene', 'methane', 'heptane', '']","['acetylene', '1-Butyne', 'erlotinib', 'ponatinib', 'methylacetylene', 'diacetylene', 'efavirenz', 'vinylacetylene']"
160,Q640262,"[""N'Djamena"", 'Gilbert_Islands', 'Sirte', 'Verbano-Cusio-Ossola', 'Verona', '']","['Kanem', 'Ouaddaï', 'Batha', 'Wadi_Fira', 'Chari-Baguirmi', 'Guéra', 'Logone_Occidental', 'Moyen-Chari']"
161,Q917092,"['South_Tipperary', 'North_Tipperary', '1st_arrondissement_of_Paris', '13th_arrondissement_of_Paris', 'Rozdolne_Raion', 'Simferopol_Raion', '']","['Ciudad_del_Este', 'Encarnación', 'Pedro_Juan_Caballero', 'Luque', 'Asunción', 'Pilar', 'San_Lorenzo', 'Concepción']"
162,Q1210300,"['Adjara', 'Akhmeta', 'Gilbert_Islands', 'Sirte', 'Verbano-Cusio-Ossola', 'Viterbo', '']","['Imereti', 'Guria', 'Kakheti', 'Racha-Lechkhumi_and_Kvemo_Svaneti', 'Kvemo_Kartli', 'Tbilisi', 'Samtskhe-Javakheti', 'Shida_Kartli']"
163,Q13025342,"['Aljezur', 'Slatina', 'Belgrade', 'county', '']","['Krabi', 'Mae_Hong_Son', 'Amnat_Charoen', 'Buriram', 'Kanchanaburi', 'Surat_Thani', 'Sukhothai_Thani', 'Chaiyaphum']"
164,Q16103215,"['Sibley-Ahlquist_taxonomy', 'executive_car', 'holotype', 'trinomial_name', 'Newspeak', 'Valarin', '']","['steamboat', 'sailboat', 'barge', 'motorboat', 'banana_boat', 'landing_craft', 'barque', 'sailing_dinghy']"
165,Q378508,"['Aljezur', 'Carrión_de_los_Condes', 'Mukacheve_Raion', 'autonomous_region', 'Capital_District', 'Federal_Dependencies_of_Venezuela', '']","['Menongue', 'Soyo', 'Cabinda', 'Lucapa', 'Luena', 'Kuito', 'Saurimo', 'Uíge']"
166,Q5200157,"['Brown_bread', 'bouillon_cube', 'handkerchief', 'gas_mask', 'rubber_stamp', 'pantograph', '']","['marzipan', 'toffee', 'Jalebi', 'fudge', 'Skittles', 'nougat', 'Gulab_jamun', 'churro']"
167,Q1353952,"['Gliese_832', 'yellow_dwarf', 'EZ_Aquarii', 'T_Tauri', '73P/Schwassmann–Wachmann', 'Comet_West', '']","['Cor_Caroli', 'Upsilon_Andromedae', 'Alpha_Herculis', 'Procyon', 'Alcyone', 'Dubhe', 'Polaris', 'π']"
168,Q1061151,"['Aphrodite_Terra', 'Patagonian_Desert', 'Gamay', 'SVCD', 'Challenger_Deep', 'Mount_Roraima', '']","['Julian_Alps', 'Aïr_Mountains', 'Gran_Sasso', 'Kebnekaise', 'Dolomites', 'Adrar_des_Ifoghas', 'Mount_Kilimanjaro', 'Hoggar']"
169,Q15169167,"['dismemberment', 'imprisonment', 'Porajmos', 'congenital_heart_defect', 'myelodysplastic_syndrome', '']","['gas_chamber', 'guillotine', 'hanging', 'electric_chair', 'lethal_injection', 'beheaded', 'firing_squad', 'stoning']"
170,Q209939,"['Some_Girls', 'The_Rolling_Stones,_Now!', 'studio_album', 'DAT', 'CD-ROM', 'Pioneer_plaque', '']","['S', 'Pulse', 'Live_in_Texas', 'Songs_of_Faith_and_Devotion', 'MTV_Unplugged_in_New_York', 'Rattle_and_Hum', 'Live_Killers', 'Ummagumma']"
171,Q1989278,"['National_Revolutionary_Army', 'List_of_European_cities_by_population_within_city_limits', 'Quebec', 'Ontario', 'Göppingen', 'Böblingen', '']","['Outaouais', 'Capitale-Nationale', 'Nord-du-Québec', 'Laval', 'Montérégie', 'Saguenay–Lac-Saint-Jean', 'Lanaudière', 'Côte-Nord']"
172,Q14623646,"['Pete', 'Kif_Kroker', 'Apertium', 'The_Burning_Crusade', 'Newspeak', 'Simlish', '']","['Starfleet', 'Federation', 'Akatsuki', 'Galactic_Republic', 'Teenage_Mutant_Ninja_Turtles', 'Dharma_Initiative', 'Jedi', 'Rebel_Alliance']"
173,Q1368898,"['snowball_fight', 'skateboard', 'nu_jazz', 'Carnatic_music', 'Snakes_and_Ladders', 'Chaturanga', '']","['Mikado', 'foosball', 'pétanque', 'knucklebones', 'carrom', 'darts', 'air_hockey', 'Tech_Deck']"
174,Q188509,"['Kindia', 'Borghi', 'Latgale', 'Azawad', 'Cîteaux', 'Port-Royal', '']","['Carthage', 'Kotte', 'Ealing', 'Oak_Park,_Illinois', 'Howth', 'Kifissia', 'Bondi_Beach', 'Kibera']"
175,Q14756018,"['Hardy_Boyz', 'Cain', 'Marx_Brothers', 'Four_sons_of_Horus', 'musketeer', 'Court_Jew', '']","['The_Headhunters', 'TWiiNS', 'Winklevoss_twins', 'Paul_and_Gaëtan_Brizzi', 'Romulus', 'Saints_Cosmas_and_Damian', 'Kalin_Twins', 'Castor_and_Pollux']"
176,Q12131624,"['Tarn', 'Somme', 'raion', 'voivodeship', '']","['Bolhrad', 'Kiliya', 'Artsyz', 'Reni', 'Izmail', 'Vylkove', 'Odessa', 'Ananyiv']"
177,Q5633421,"['Weird_Tales', 'newsletter', 'Punch', 'Weekly_Shōnen_Sunday', 'radio_stations', 'double_album', '']","['Nature', 'Philosophical_Transactions', 'Annalen_der_Physik', 'The_Lancet', 'New_Scientist', 'British_Medical_Journal', 'The_Astrophysical_Journal', 'Science']"
178,Q24354,"['Führerbunker', 'National_Congress', 'Damascus_Gate', 'Fort_Eben-Emael', 'Nutcracker', 'bread_machine', '']","['Moulin_Rouge', 'Palais_Garnier', 'Globe_Theatre', 'Carnegie_Hall', 'Vienna_State_Opera', 'Folies_Bergère', 'Royal_Albert_Hall', 'Bolshoi_Theatre']"
179,Q2351962,"['Cinema_4D', 'CATIA', 'Amaya', 'Windows_Movie_Maker', 'D-Bus', 'Lucene', '']","['Adobe_Creative_Suite', 'GIMP', 'Microsoft_Paint', 'Krita', 'IrfanView', 'Paint.NET', 'Adobe_Photoshop_Lightroom', 'Adobe_Fireworks']"
180,Q5185279,"[""Ruba'i"", 'terza_rima', 'Saga_of_Erik_the_Red', 'Ligeia', 'trio_sonata', 'canzone', '']","['The_Raven', 'Theogony', 'Annabel_Lee', 'Jabberwocky', 'Works_and_Days', 'Georgics', 'Orlando_Furioso', 'Eclogues']"
181,Q3249551,"['Hurricane_Katrina', 'Big_Bang_nucleosynthesis', 'Viking_Age', 'Industrial_Revolution', 'Republic_Day', 'historical_reenactment', '']","['scientific_method', 'radioactive', 'multiplexing', 'globalization', 'language_acquisition', 'recording', 'Purgatory', 'dubbed']"
182,Q1147395,"['National_Revolutionary_Army', 'List_of_islands', 'Wikivoyage:Words_to_avoid', 'Wikipedia_Signpost', 'Robur_the_Conqueror', 'Peril_at_End_House', '']","['Samsun', 'Adapazarı', 'Alanya', 'İskenderun', 'Tekirdağ', 'Bodrum', 'Çorum', 'Harran']"
183,Q12143,"['Ottawa', 'Mount_Rushmore', 'Azawad', 'international_waters', 'Torbay', 'Canterbury', '']","['CET', 'Moscow_Time', 'EET', 'WET', 'EDT', 'UTC−00:25', 'GMT', 'PDT']"
184,Q3932296,"['FileMaker', 'ERP', 'Spybot_-_Search_&_Destroy', 'Tabula_Rogeriana', 'reference_ellipsoid', '']","['SQLite', 'PostgreSQL', 'Microsoft_Access', 'DB2', 'MySQL', 'SQL', 'MariaDB', 'Oracle']"
185,Q17305127,"['Donkey_Kong', 'Pete', 'Uldum', 'Origin', 'Sindarin', 'Newspeak', '']","['vampire_hunter', 'fictional_vigilante', 'superhero', '00_Agent', 'magician', 'supervillain', 'auror', 'sky_pirate']"
186,Q2738074,"['gender_equality', 'logical_positivism', 'Mannerist', 'Italian_Renaissance', 'Judaism', 'French_culture', '']","['Pegida', 'Ghibelline', 'Eurosceptic', 'Polisario_Front', 'Peronist', 'Black_Hundreds', 'Risorgimento', 'Pan-Germanism']"
187,Q2775969,"['Hindu_deities', 'Expressways_of_China', 'Thule', 'Sandy_Island,_New_Caledonia', ""Na'vi"", 'Newspeak', '']","['Alderaan', 'Arda', 'Naboo', 'Hoth', 'Kashyyyk', 'Tatooine', 'Nibiru', 'Coruscant']"
188,Q222405,"['tonfa', 'bolas', 'sieve', 'laser_diode', 'Heckler_&_Koch_USP', 'Glock_18', '']","['trident', 'brass_knuckles', 'pilum', 'bayonet', 'tomahawk', 'foil', 'axe', 'machete']"
189,Q6593035,"['Aurora', 'Ajax', 'Côte-Nord', 'Outaouais', 'colony', 'New_Caledonia', '']","['Brockville', 'Guelph', 'Belleville', 'Windsor,_Ontario', 'Kingston,_Ontario', 'Stratford', 'Peterborough', 'London,_Ontario']"
190,Q1420,"['F2012', 'Ferrari_F10', 'bread_machine', 'spinning_jenny', '']","['Volkswagen_Schwimmwagen', 'Fiat_Panda', 'Volkswagen_Polo', 'Peugeot_107', 'Toyota_Celica', 'GAZ-69', 'Lancia_037', 'Ford_Anglia']"
191,Q692680,"['Mitte', 'Harburg', 'Line_Islands', 'Sirte', 'Svalbard_and_Jan_Mayen', 'Drava_Statistical_Region', '']","['Sankt_Goarshausen', 'Wassenach', 'Ayl', 'Berg', 'Nürburg', 'Bachenberg', 'Rheinbreitbach', 'Bad_Bertrich']"
192,Q375011,"['kermis', 'Vidovdan', 'NBA_Draft', 'Intervision_Song_Contest', 'Lyon', 'Warsaw', '']","['Pentecost', 'Easter', 'Eid_al-Fitr', 'Palm_Sunday', 'Epiphany', 'Good_Friday', 'Eid_al-Adha', 'Assumption_of_Mary']"
193,Q3647172,"['luminosity_of_the_Sun', 'volume_fraction', 'magnitude', 'mass_number', 'Türkvizyon_Song_Contest', 'Love_Parade', '']","['solar_mass', 'lb', 'gram', 'kDa', 'ounce', 'kg', 'MeV', 'tonne']"
194,Q282472,"['Exocet', 'PTRS-41', 'tonfa', 'biological_warfare', 'FN_Five-seven', 'Glock', '']","['BGM-71_TOW', 'MILAN', '9K111_Fagot', '9M133_Kornet', 'Swingfire', 'FGM-148_Javelin', 'AGM-114_Hellfire', 'AT-3_Sagger']"
195,Q8148,"['software_development', 'steelmaking', 'storm', '1970_Bhola_cyclone', 'Steamboat_Willie', 'Ghosts', '']","['shipbuilding', 'shopping', 'filmmaker', 'horticulture', 'mining', 'robotics', 'manufacturing', 'automotive']"
196,Q655697,"['Moncada_Barracks', 'Acropolis_of_Athens', 'autoclave', 'playing_card', 'lorgnette', 'armband', '']","['mangonel', 'onager', 'battering_ram', 'trebuchet', 'ballista', 'corvus', 'scorpio', 'siege_tower']"
197,Q31629,"['yoga', 'skateboarding', 'insulation', 'Twyfelfontein', 'bowls', 'skateboarding', '']","['American_football', 'fencer', 'skiing', 'basketball', 'archer', 'football', 'wrestling', 'billiards']"
198,Q134556,"['Hybrid_Theory_EP', 'single', 'almanac', 'Encyclopaedia_of_Islam', 'gramophone', 'tripod', '']","['Bohemian_Rhapsody', 'Stairway_to_Heaven', 'I_Wanna_Go', 'Imagine', 'Gangnam_Style', 'We_Are_the_Champions', 'Smells_Like_Teen_Spirit', 'O_Sole_Mio']"
199,Q2139,"['Jupiter_LI', 'S/2010_J_2', 'Namaka', '(243)_Ida_I_Dactyl', 'Canis_Major_Dwarf_Galaxy', 'NGC_245', '']","['Naiad', 'Galatea', 'Larissa', 'Proteus', 'Despina', 'Triton', 'Nereid', 'Thalassa']"
200,Q8366,"['derivational', 'deep-fried', 'Purgatory', 'globalization', 'Chinese_culture', 'Ugarit', '']","['Gram–Schmidt_process', 'symmetric_key', 'RAR', 'PageRank', 'heuristic', 'Gaussian_elimination', 'greedy_algorithm', 'genetic_algorithm']"
